ham	Meeting has been moved to 3 PM.
ham	Can we reschedule our call for tomorrow?
ham	Can you send me the report by EOD?
ham	Let’s catch up soon. Been a while!
ham	Let’s catch up soon. Been a while!
spam	Urgent: Your account has been suspended. Click here to verify your identity.
spam	Act fast! This offer ends in 24 hours.
ham	Happy Birthday! Hope you have a great day!
spam	Congratulations! You've won a $1000 Walmart gift card. Go to http://bit.ly/123456 to claim now.
spam	Limited offer! Get a new phone for free. Just visit our site.
ham	Happy Birthday! Hope you have a great day!
ham	Did you see the email from HR about the holiday?
ham	Can you send me the report by EOD?
spam	Your loan is approved! No credit check. Apply now.
spam	Earn money from home! Start today. No experience needed.
ham	Did you see the email from HR about the holiday?
ham	Let’s catch up soon. Been a while!
spam	Congratulations! You've won a $1000 Walmart gift card. Go to http://bit.ly/123456 to claim now.
spam	Congratulations! You've won a $1000 Walmart gift card. Go to http://bit.ly/123456 to claim now.
ham	I'll be late. Traffic is crazy today.
spam	Urgent: Your account has been suspended. Click here to verify your identity.
ham	Don't forget to call your mom!
ham	Can we reschedule our call for tomorrow?
spam	Act fast! This offer ends in 24 hours.
ham	Don't forget to call your mom!
spam	Your loan is approved! No credit check. Apply now.
ham	Happy Birthday! Hope you have a great day!
ham	Don't forget to call your mom!
spam	WINNER!! You have won tickets to the Bahamas. Reply YES to claim.
ham	Happy Birthday! Hope you have a great day!
ham	Let’s catch up soon. Been a while!
ham	Meeting has been moved to 3 PM.
spam	Earn money from home! Start today. No experience needed.
spam	Your loan is approved! No credit check. Apply now.
ham	Happy Birthday! Hope you have a great day!
ham	Don't forget to call your mom!
spam	You have 1 unread message waiting at http://scam.link.
ham	Did you see the email from HR about the holiday?
spam	You've been selected for a cash prize! Call 09061701461 now.
ham	Meeting has been moved to 3 PM.
spam	Urgent: Your account has been suspended. Click here to verify your identity.
ham	Did you see the email from HR about the holiday?
ham	Let’s catch up soon. Been a while!
spam	Earn money from home! Start today. No experience needed.
ham	Can we reschedule our call for tomorrow?
spam	Act fast! This offer ends in 24 hours.
spam	Limited offer! Get a new phone for free. Just visit our site.
ham	Hey, are we still on for dinner tonight?
